0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
-361.22186279296875,-362.9129638671875,-366.20263671875,-367.26873779296875,-386.205322265625,-402.7699279785156,-339.1634826660156,-257.94952392578125,-208.4542236328125,-186.7709197998047,-220.59512329101562,-249.660400390625,-260.42279052734375,-263.4873962402344,-263.81939697265625,-261.11785888671875,-259.5371398925781,-263.45440673828125,-265.189208984375,-277.8997497558594,-279.44854736328125,-285.8168029785156,-293.4742431640625,-296.0260314941406,-298.9658203125,-298.6810607910156,-300.798583984375,-308.611328125,-305.8136291503906,-272.0359191894531,-217.54884338378906,-174.49122619628906,-180.27767944335938,-219.77015686035156,-243.52098083496094,-239.88134765625,-277.23541259765625,-345.489990234375,-372.6647033691406,-363.6446838378906,-366.289794921875,-349.0770263671875,-326.95806884765625,-327.0892333984375,hungry
-322.2979431152344,-316.8866271972656,-320.0669250488281,-315.6479797363281,-304.98895263671875,-295.6890869140625,-292.1201477050781,-284.9992980957031,-281.2946472167969,-277.4298400878906,-276.63037109375,-272.8319396972656,-268.7932434082031,-262.2599792480469,-264.0439147949219,-267.9895324707031,-264.6385192871094,-258.8733825683594,-263.44708251953125,-261.1953125,-258.8979187011719,-262.0270690917969,-261.7684631347656,-262.6124267578125,-265.62982177734375,-263.0225524902344,-260.6446533203125,-264.23883056640625,-261.8212890625,-264.18719482421875,-267.8006896972656,-271.7754211425781,-269.21630859375,-263.70489501953125,-258.2679138183594,-259.5014953613281,-258.04473876953125,-251.9272918701172,-247.63687133789062,-256.0069885253906,-260.1409606933594,-250.5726776123047,-233.32449340820312,-212.50625610351562,hungry
-328.54052734375,-321.40911865234375,-313.5132141113281,-298.51922607421875,-290.4122009277344,-292.3588562011719,-288.4743957519531,-241.15280151367188,-185.09896850585938,-165.31565856933594,-190.9794921875,-223.6929473876953,-213.93458557128906,-217.63497924804688,-232.03250122070312,-238.7884521484375,-246.77450561523438,-252.69322204589844,-254.14593505859375,-241.88221740722656,-235.83758544921875,-240.9214324951172,-251.182373046875,-254.0596923828125,-248.10533142089844,-237.5660400390625,-223.55870056152344,-228.47146606445312,-233.29193115234375,-229.6514129638672,-225.05458068847656,-226.319091796875,-229.2810821533203,-221.51742553710938,-234.9718017578125,-245.26812744140625,-251.4185333251953,-248.37794494628906,-240.20620727539062,-240.5285186767578,-236.38880920410156,-230.41317749023438,-240.3513641357422,-269.0931396484375,hungry
-780.0181884765625,-775.1854858398438,-775.4261474609375,-760.8232421875,-749.0604858398438,-742.1044311523438,-741.58544921875,-720.0685424804688,-664.4679565429688,-624.855224609375,-605.6586303710938,-609.0999755859375,-629.5690307617188,-646.7969970703125,-641.781494140625,-631.2391967773438,-625.9436645507812,-621.892578125,-597.8033447265625,-570.3726196289062,-569.0805053710938,-590.1279907226562,-602.527587890625,-632.8789672851562,-672.0350341796875,-702.9765014648438,-727.1823120117188,-740.5477905273438,-753.4031982421875,-774.0206298828125,-781.1101684570312,-783.287841796875,-800.5783081054688,-796.043212890625,-801.2443237304688,-803.6615600585938,-805.5189208984375,-801.4029541015625,-803.255859375,-805.8277587890625,-792.8919677734375,-790.274169921875,-771.6787719726562,-737.2142333984375,hungry
-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.4314575195312,-590.3601684570312,-585.344970703125,-576.6857299804688,-551.1969604492188,-526.8704833984375,-501.87835693359375,-500.6020812988281,-506.7750244140625,-508.722412109375,-507.75030517578125,-491.8790283203125,-479.1051940917969,-482.0296936035156,-475.2122497558594,-462.1982727050781,-462.4742736816406,-470.3215637207031,-482.0384521484375,-481.87225341796875,-479.5970153808594,-470.1837158203125,-467.2940673828125,-475.234130859375,-486.56365966796875,-501.2003479003906,-511.8034973144531,-512.426025390625,-504.7388000488281,-499.76104736328125,-505.0970458984375,-498.655029296875,hungry
-132.80772399902344,-136.7629852294922,-188.04159545898438,-200.8130645751953,-207.2375946044922,-194.4989013671875,-183.6056365966797,-176.40460205078125,-174.31907653808594,-165.33926391601562,-149.2584686279297,-145.20684814453125,-156.6388702392578,-170.7837677001953,-156.25167846679688,-146.5084991455078,-151.95877075195312,-159.6614227294922,-160.48141479492188,-167.0521240234375,-163.2955780029297,-156.17259216308594,-151.31448364257812,-164.57174682617188,-176.10719299316406,-172.40040588378906,-172.34912109375,-172.32159423828125,-188.5687255859375,-207.9906463623047,-234.4014892578125,-260.3521728515625,-269.9418029785156,-275.3643798828125,-276.3877258300781,-269.9218444824219,-266.9123840332031,-276.78076171875,-297.0574035644531,-303.7334289550781,-292.35882568359375,-290.6110534667969,-267.0756530761719,-224.59927368164062,hungry
-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-892.384033203125,-848.3734130859375,-775.2415771484375,-757.5228271484375,-756.6213989257812,-748.092529296875,-714.7413330078125,-714.0768432617188,-710.6105346679688,-697.0556030273438,-690.0025024414062,-691.4689331054688,-698.2108154296875,-713.77734375,-727.7595825195312,-730.498291015625,-750.5926513671875,-763.2081909179688,-753.305419921875,-757.4005126953125,-765.0195922851562,-759.4053955078125,-766.8436279296875,-776.646240234375,hungry
-272.3890075683594,-229.10340881347656,-211.39175415039062,-245.2612762451172,-323.1820983886719,-353.78350830078125,-377.6573791503906,-398.88720703125,-398.9876403808594,-373.0691833496094,-358.9140319824219,-339.53887939453125,-303.0249938964844,-261.9676818847656,-255.09713745117188,-297.5440368652344,-380.2366943359375,-397.0223388671875,-361.3534851074219,-343.13653564453125,-337.831787109375,-317.7635803222656,-326.8387451171875,-345.8071594238281,-356.4508972167969,-366.79656982421875,-352.0155944824219,-312.3804626464844,-303.6142578125,-323.70001220703125,-323.612548828125,-276.7958679199219,-266.8817443847656,-302.0402526855469,-312.9756164550781,-262.0067443847656,-249.69505310058594,-257.9129333496094,-248.7910614013672,-255.70553588867188,-291.0716247558594,-310.414794921875,-299.140380859375,-299.1246337890625,hungry
-627.256591796875,-628.2894897460938,-658.1929321289062,-676.334716796875,-677.1216430664062,-676.9764404296875,-658.6854248046875,-651.7900390625,-670.0194702148438,-673.794921875,-676.3328857421875,-676.8468627929688,-675.2498168945312,-675.5665283203125,-676.5254516601562,-675.0428466796875,-676.6777954101562,-677.2913818359375,-676.289306640625,-674.6174926757812,-675.2073364257812,-677.16162109375,-677.9639282226562,-677.7091064453125,-677.443603515625,-674.9698486328125,-676.4817504882812,-677.1121215820312,-676.95458984375,-676.4893798828125,-676.714111328125,-677.2015380859375,-677.671630859375,-677.7261962890625,-676.5811157226562,-675.1762084960938,-676.5503540039062,-677.3106079101562,-675.7179565429688,-675.2410278320312,-677.1144409179688,-676.446044921875,-630.5192260742188,-572.3566284179688,hungry
-455.7708740234375,-479.7630615234375,-504.6650085449219,-509.33843994140625,-500.5765686035156,-464.2597351074219,-456.0565185546875,-471.4107971191406,-481.2693176269531,-506.29150390625,-511.37506103515625,-508.3326110839844,-515.3036499023438,-515.1854858398438,-522.3997192382812,-530.72265625,-543.667236328125,-536.4903564453125,-541.1185302734375,-550.7940673828125,-562.486083984375,-566.8524169921875,-564.9426879882812,-565.0584106445312,-564.1463623046875,-571.1489868164062,-573.22119140625,-573.44677734375,-569.2344970703125,-572.9977416992188,-573.679443359375,-570.0183715820312,-574.8963623046875,-575.2833251953125,-566.4415283203125,-556.7646484375,-552.2180786132812,-541.9945068359375,-531.6632690429688,-517.5447387695312,-503.9725646972656,-495.446533203125,-488.4759521484375,-483.81060791015625,hungry
-96.34780883789062,-135.2422637939453,-221.46597290039062,-250.4354705810547,-307.00726318359375,-355.36798095703125,-353.1873474121094,-328.8896789550781,-318.5227355957031,-318.59716796875,-312.11920166015625,-313.4201965332031,-350.9983215332031,-413.7110595703125,-381.26416015625,-293.5551452636719,-241.1243133544922,-220.11373901367188,-225.15798950195312,-221.4794464111328,-221.85704040527344,-233.39376831054688,-244.97348022460938,-240.2281036376953,-230.58033752441406,-208.06756591796875,-220.61947631835938,-270.56561279296875,-325.5012512207031,-356.59100341796875,-340.7063903808594,-328.4164733886719,-327.7707824707031,-351.11834716796875,-402.2767333984375,-414.775390625,-345.9809875488281,-265.7154235839844,-230.83250427246094,-228.32615661621094,-230.52059936523438,-234.2792205810547,-237.91424560546875,-244.0788116455078,hungry
-255.0165252685547,-251.6988067626953,-256.70550537109375,-254.9922637939453,-252.04510498046875,-255.65921020507812,-260.2367858886719,-260.521240234375,-251.79150390625,-245.37974548339844,-243.62734985351562,-248.48367309570312,-246.41656494140625,-250.6374969482422,-259.23577880859375,-247.0994873046875,-250.08511352539062,-290.1280517578125,-306.81610107421875,-314.9892578125,-327.5898742675781,-337.4031982421875,-330.87884521484375,-294.9211730957031,-264.8202819824219,-270.2620849609375,-287.640869140625,-295.3587341308594,-304.3118896484375,-337.3636779785156,-401.0460205078125,-461.0115051269531,-481.7623596191406,-486.4686584472656,-513.3405151367188,-535.0128784179688,-443.2579650878906,-363.0995788574219,-312.7449951171875,-285.14154052734375,-259.5888366699219,-255.93687438964844,-271.0504455566406,-287.7839660644531,hungry
-678.98193359375,-621.4647827148438,-586.2457275390625,-566.706298828125,-567.05126953125,-583.1502075195312,-589.5276489257812,-587.5474853515625,-586.0999145507812,-591.8480224609375,-599.0139770507812,-603.13427734375,-601.6578979492188,-576.624267578125,-524.3289794921875,-518.2656860351562,-555.5858154296875,-574.481201171875,-578.9537963867188,-593.322998046875,-594.0136108398438,-590.6227416992188,-597.5119018554688,-596.6895141601562,-583.3759155273438,-577.4517822265625,-577.4503173828125,-474.83282470703125,-452.4014587402344,-509.405029296875,-528.6212768554688,-522.5642700195312,-509.660400390625,-511.90521240234375,-538.4047241210938,-505.77386474609375,-496.8197937011719,-548.410400390625,-585.1455078125,-576.9293212890625,-571.2379760742188,-578.8507080078125,-589.1937866210938,-582.0081176757812,hungry
-392.51654052734375,-397.63983154296875,-407.01287841796875,-414.2319030761719,-418.33392333984375,-423.60711669921875,-439.7607727050781,-453.8702697753906,-452.5641174316406,-451.5167541503906,-445.13079833984375,-442.1067810058594,-444.7803955078125,-435.0934143066406,-434.3222351074219,-437.83135986328125,-419.02740478515625,-419.3426208496094,-429.49554443359375,-435.5448303222656,-429.514892578125,-420.85308837890625,-416.4598083496094,-420.140869140625,-436.4677734375,-441.2420349121094,-441.6002502441406,-451.98443603515625,-454.5871276855469,-467.385498046875,-481.3376770019531,-471.0528259277344,-478.33709716796875,-502.03045654296875,-496.3480529785156,-495.08404541015625,-494.610107421875,-487.6877136230469,-499.4643859863281,-500.509033203125,-500.7894287109375,-507.6104736328125,-510.9975280761719,-504.7808532714844,hungry
-150.4203338623047,-173.0459747314453,-225.03944396972656,-220.46136474609375,-220.64329528808594,-243.24429321289062,-256.7901916503906,-217.0135040283203,-207.23472595214844,-241.66220092773438,-238.55584716796875,-213.37818908691406,-240.98936462402344,-271.2905578613281,-234.50811767578125,-240.71383666992188,-225.46385192871094,-211.0990753173828,-212.3580780029297,-245.41839599609375,-290.3339538574219,-314.0809020996094,-312.4827880859375,-324.7835998535156,-355.4609069824219,-369.0826416015625,-374.4662780761719,-358.2555847167969,-307.9700012207031,-285.9610900878906,-275.4252014160156,-258.85540771484375,-246.06607055664062,-234.7271270751953,-210.8820343017578,-175.74559020996094,-164.72079467773438,-177.24639892578125,-159.70118713378906,-165.42425537109375,-187.53977966308594,-198.63172912597656,-208.22535705566406,-198.9014892578125,hungry
-629.8453979492188,-629.8453979492188,-629.8453979492188,-629.8453979492188,-629.8453979492188,-629.8453979492188,-629.8453979492188,-571.5032348632812,-276.6448059082031,-192.86807250976562,-171.19874572753906,-158.6929473876953,-131.89620971679688,-148.8788299560547,-180.55845642089844,-206.10694885253906,-223.3115234375,-222.85133361816406,-237.24990844726562,-263.3250732421875,-283.084228515625,-296.7489318847656,-305.07574462890625,-304.2232360839844,-300.3512878417969,-302.6352233886719,-317.68084716796875,-331.8672180175781,-334.5282287597656,-320.486572265625,-323.68487548828125,-291.6484375,-275.83642578125,-296.26861572265625,-312.1807861328125,-332.709228515625,-340.9219665527344,-341.95904541015625,-336.498046875,-328.7366027832031,-322.3995056152344,-315.06134033203125,-310.2975158691406,-313.0814208984375,hungry
-639.5011596679688,-628.01220703125,-627.267333984375,-626.0851440429688,-626.6400146484375,-623.1552734375,-622.341064453125,-623.7990112304688,-627.4219360351562,-623.9270629882812,-626.4000854492188,-630.0496826171875,-628.8390502929688,-626.6087036132812,-609.8844604492188,-586.1137084960938,-556.2342529296875,-492.4686279296875,-436.92999267578125,-414.7434997558594,-412.6841125488281,-404.1285705566406,-399.63262939453125,-404.7911682128906,-434.35369873046875,-463.7132263183594,-485.08990478515625,-479.10382080078125,-488.6644592285156,-509.0126953125,-520.3449096679688,-522.2843017578125,-527.8055419921875,-532.0011596679688,-533.2098388671875,-552.1483154296875,-593.3519287109375,-613.298095703125,-610.4505004882812,-582.7717895507812,-563.0204467773438,-557.3098754882812,-542.8648681640625,-545.9869384765625,hungry
-404.2295227050781,-435.345458984375,-483.36798095703125,-480.5583801269531,-479.7341003417969,-486.6685791015625,-469.3984069824219,-455.11456298828125,-431.5927429199219,-416.9522705078125,-440.5989074707031,-485.972412109375,-520.3106079101562,-553.070068359375,-579.4537353515625,-596.4802856445312,-605.7182006835938,-621.3245849609375,-633.6526489257812,-643.8693237304688,-651.4119873046875,-663.8764038085938,-680.3850708007812,-685.1876831054688,-678.8733520507812,-644.6489868164062,-618.7435302734375,-632.697265625,-644.3008422851562,-655.3267211914062,-666.4468383789062,-665.4280395507812,-665.7363891601562,-668.939208984375,-676.6466064453125,-673.8604125976562,-670.2513427734375,-675.1565551757812,-687.56689453125,-691.6863403320312,-691.7153930664062,-683.7941284179688,-669.8211059570312,-661.060302734375,hungry
-701.8534545898438,-665.9608154296875,-614.1304321289062,-563.2156372070312,-522.0262451171875,-492.0093994140625,-469.1070861816406,-449.0934753417969,-442.455322265625,-443.0933837890625,-444.6108093261719,-446.9733581542969,-447.3089904785156,-445.17999267578125,-438.9795837402344,-432.9148864746094,-434.39385986328125,-429.2382507324219,-407.86956787109375,-401.6174011230469,-417.4376220703125,-428.5312194824219,-422.68731689453125,-421.10205078125,-414.7766418457031,-415.4043884277344,-421.7044372558594,-435.9334716796875,-436.1283264160156,-422.45843505859375,-424.3726806640625,-427.9930725097656,-429.0757141113281,-426.0008544921875,-420.822265625,-427.13885498046875,-416.08270263671875,-417.9952697753906,-433.4771728515625,-439.7955627441406,-440.87255859375,-429.7886657714844,-381.4239501953125,-382.0179748535156,hungry
-326.8921813964844,-376.967529296875,-469.9405517578125,-477.68359375,-476.59820556640625,-476.3679504394531,-470.5906982421875,-469.2568359375,-461.03594970703125,-461.8697509765625,-466.57763671875,-413.2325134277344,-377.1136169433594,-385.3013000488281,-403.2721252441406,-413.7184753417969,-420.1773376464844,-420.13604736328125,-429.2197570800781,-444.042724609375,-424.20404052734375,-409.0698547363281,-419.2380065917969,-415.5850524902344,-418.7848815917969,-448.7947692871094,-475.5014953613281,-502.02423095703125,-507.1487731933594,-506.4892578125,-509.33270263671875,-502.4070129394531,-502.9981384277344,-523.24462890625,-528.899658203125,-517.7257690429688,-516.7794799804688,-505.5287780761719,-477.9190673828125,-444.71124267578125,-402.9892272949219,-392.2276306152344,-408.6656799316406,-447.8168029785156,hungry
-796.4609985351562,-796.4609985351562,-796.4609985351562,-796.4609985351562,-796.4609985351562,-796.4609985351562,-796.4609985351562,-796.4609985351562,-796.4609985351562,-796.4609985351562,-796.4609985351562,-796.4609985351562,-784.915283203125,-704.5789184570312,-636.2734375,-589.268798828125,-541.14599609375,-496.4558410644531,-462.4872741699219,-439.9880065917969,-417.94268798828125,-388.68914794921875,-367.86773681640625,-367.4775390625,-374.19097900390625,-386.4778747558594,-373.2493591308594,-357.8909606933594,-340.8481140136719,-325.5213623046875,-328.37957763671875,-350.7145690917969,-375.7735900878906,-390.4132385253906,-402.6602783203125,-421.2768249511719,-439.8105773925781,-458.87579345703125,-481.8341064453125,-504.68011474609375,-513.2943725585938,-532.356689453125,-556.6483764648438,-567.54052734375,hungry
-513.0369262695312,-510.1163330078125,-510.08642578125,-509.23785400390625,-507.4642639160156,-509.5361022949219,-511.2810974121094,-510.6984558105469,-506.3197021484375,-505.3804931640625,-511.0629577636719,-515.1309814453125,-517.7097778320312,-517.1891479492188,-517.27001953125,-516.6298828125,-515.8585815429688,-517.189208984375,-514.465087890625,-512.8829956054688,-505.0666198730469,-501.81951904296875,-500.77764892578125,-505.5511779785156,-515.0368041992188,-515.1137084960938,-509.56549072265625,-509.53802490234375,-504.051025390625,-483.0087890625,-451.11944580078125,-428.247314453125,-407.8097229003906,-396.42962646484375,-406.3564453125,-431.08148193359375,-458.3768615722656,-477.5403137207031,-490.2550964355469,-494.62506103515625,-489.7911682128906,-492.8379211425781,-489.52435302734375,-488.38153076171875,hungry
-288.9437561035156,-308.9092102050781,-330.6434020996094,-324.9847717285156,-313.2178649902344,-303.0541076660156,-301.3539123535156,-283.5627746582031,-284.21533203125,-295.6478271484375,-296.07659912109375,-302.4274597167969,-325.861083984375,-344.61895751953125,-348.363525390625,-341.755126953125,-343.2047424316406,-336.0946044921875,-336.9877624511719,-327.93841552734375,-318.148193359375,-320.4581298828125,-320.40008544921875,-328.57318115234375,-331.66192626953125,-330.4644470214844,-325.745849609375,-319.72491455078125,-308.6399230957031,-292.27545166015625,-288.292236328125,-291.06390380859375,-275.14434814453125,-258.8567810058594,-261.287841796875,-272.5982971191406,-270.8277587890625,-272.84246826171875,-283.7572326660156,-284.712158203125,-282.80328369140625,-271.7418212890625,-259.17852783203125,-246.7532958984375,hungry
-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-577.9300537109375,-481.79437255859375,-322.6868591308594,-264.93585205078125,-248.10317993164062,-239.16587829589844,-226.04974365234375,-215.2678680419922,-205.7274627685547,-202.30345153808594,-207.966796875,-197.55540466308594,-198.6032257080078,hungry
